10:44:58.155 INFO: JdwpDebugServer: handling req: VirtualMachine(1).IDSizes(7)
10:44:58.156 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
10:44:58.156 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=100, eventKind=CLASS_PREPARE, suspendPolicy=NONE, predicates=[]}
10:44:58.157 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
10:44:58.157 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=101, eventKind=CLASS_UNLOAD, suspendPolicy=NONE, predicates=[]}
10:44:58.171 INFO: JdwpDebugServer: handling req: VirtualMachine(1).Version(1)
10:44:58.172 INFO: JdwpDebugServer: handling req: VirtualMachine(1).capabilitiesNew(17)
10:44:58.172 INFO: JdwpDebugServer: handling req: VirtualMachine(1).capabilities(12)
10:44:58.172 INFO: JdwpDebugServer: handling req: VirtualMachine(1).AllClassesWithGeneric(20)
10:44:58.175 INFO: JdwpDebugServer: handling req: VirtualMachine(1).TopLevelThreadGroups(5)
10:44:58.176 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
10:44:58.176 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=102, eventKind=THREAD_START, suspendPolicy=NONE, predicates=[]}
10:44:58.176 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
10:44:58.176 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=103, eventKind=THREAD_DEATH, suspendPolicy=NONE, predicates=[]}
10:44:58.178 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
10:44:58.178 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=104, eventKind=CLASS_PREPARE, suspendPolicy=EVENT_THREAD, predicates=[className=sun.instrument.InstrumentationImpl]}
10:44:58.178 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
10:44:58.178 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=105, eventKind=CLASS_PREPARE, suspendPolicy=EVENT_THREAD, predicates=[className=sun.instrument.InstrumentationImpl]}
10:44:58.775 INFO: JdwpDebugServer: handling req: VirtualMachine(1).Resume(9)
10:44:58.833 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (33, main, main)
10:44:58.852 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (48, ReferenceQueueDaemon, main)
10:44:58.859 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (63, FinalizerWatchdogDaemon, main)
10:44:58.864 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (78, FinalizerDaemon, main)
10:44:58.867 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.868 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.869 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.870 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.872 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.873 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.874 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.875 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.877 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.878 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.879 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.880 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.881 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.883 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.884 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.886 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.887 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.888 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.892 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.893 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.895 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.896 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.898 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.899 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.901 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.933 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.934 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.935 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.936 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.937 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.939 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.940 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.943 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.944 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.945 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.947 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.948 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.949 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.950 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.966 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.968 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.969 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.970 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.971 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.972 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:58.973 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.014 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.016 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.017 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.018 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.020 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.021 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.023 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.036 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.037 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.038 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.040 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.041 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.042 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.043 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.053 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.055 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.056 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.058 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.059 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.060 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.062 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.063 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.065 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.066 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.067 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.068 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.070 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.071 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.072 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.074 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.075 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.077 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.081 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.082 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.219 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (93, AssetManager, main)
10:44:59.332 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:44:59.334 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:01.897 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:01.999 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.002 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.006 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.007 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.009 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.015 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.026 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.029 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.030 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.032 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.034 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.039 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.053 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.055 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.057 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.059 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.060 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.065 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.083 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.085 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.087 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.089 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
10:45:02.091 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
