16:53:45.875 INFO: JdwpDebugServer: handling req: VirtualMachine(1).IDSizes(7)
16:53:45.875 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
16:53:45.875 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=100, eventKind=CLASS_PREPARE, suspendPolicy=NONE, predicates=[]}
16:53:45.875 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
16:53:45.876 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=101, eventKind=CLASS_UNLOAD, suspendPolicy=NONE, predicates=[]}
16:53:45.897 INFO: JdwpDebugServer: handling req: VirtualMachine(1).Version(1)
16:53:45.898 INFO: JdwpDebugServer: handling req: VirtualMachine(1).capabilitiesNew(17)
16:53:45.898 INFO: JdwpDebugServer: handling req: VirtualMachine(1).capabilities(12)
16:53:45.898 INFO: JdwpDebugServer: handling req: VirtualMachine(1).AllClassesWithGeneric(20)
16:53:45.902 INFO: JdwpDebugServer: handling req: VirtualMachine(1).TopLevelThreadGroups(5)
16:53:45.903 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
16:53:45.903 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=102, eventKind=THREAD_START, suspendPolicy=NONE, predicates=[]}
16:53:45.903 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
16:53:45.903 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=103, eventKind=THREAD_DEATH, suspendPolicy=NONE, predicates=[]}
16:53:45.904 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
16:53:45.904 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=104, eventKind=CLASS_PREPARE, suspendPolicy=EVENT_THREAD, predicates=[className=sun.instrument.InstrumentationImpl]}
16:53:45.904 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
16:53:45.904 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=105, eventKind=CLASS_PREPARE, suspendPolicy=EVENT_THREAD, predicates=[className=sun.instrument.InstrumentationImpl]}
16:53:46.284 INFO: JdwpDebugServer: handling req: VirtualMachine(1).Resume(9)
16:53:46.321 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (33, main, main)
16:53:46.337 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (48, ReferenceQueueDaemon, main)
16:53:46.343 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (63, FinalizerWatchdogDaemon, main)
16:53:46.348 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (78, FinalizerDaemon, main)
16:53:46.350 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.351 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.353 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.354 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.355 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.356 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.357 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.358 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.359 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.360 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.362 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.363 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.364 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.365 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.366 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.367 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.368 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.369 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.372 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.373 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.375 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.376 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.377 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.378 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.380 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.499 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.500 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.502 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.503 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.504 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.505 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.507 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.510 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.511 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.513 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.514 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.516 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.517 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.518 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.538 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.539 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.541 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.542 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.543 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.544 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.546 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.588 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.589 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
16:53:46.591 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
