21:55:35.545 INFO: JdwpDebugServer: handling req: VirtualMachine(1).IDSizes(7)
21:55:35.545 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
21:55:35.545 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=100, eventKind=CLASS_PREPARE, suspendPolicy=NONE, predicates=[]}
21:55:35.545 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
21:55:35.545 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=101, eventKind=CLASS_UNLOAD, suspendPolicy=NONE, predicates=[]}
21:55:35.574 INFO: JdwpDebugServer: handling req: VirtualMachine(1).Version(1)
21:55:35.574 INFO: JdwpDebugServer: handling req: VirtualMachine(1).capabilitiesNew(17)
21:55:35.574 INFO: JdwpDebugServer: handling req: VirtualMachine(1).capabilities(12)
21:55:35.575 INFO: JdwpDebugServer: handling req: VirtualMachine(1).AllClassesWithGeneric(20)
21:55:35.578 INFO: JdwpDebugServer: handling req: VirtualMachine(1).TopLevelThreadGroups(5)
21:55:35.578 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
21:55:35.578 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=102, eventKind=THREAD_START, suspendPolicy=NONE, predicates=[]}
21:55:35.579 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
21:55:35.579 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=103, eventKind=THREAD_DEATH, suspendPolicy=NONE, predicates=[]}
21:55:35.582 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
21:55:35.582 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=104, eventKind=CLASS_PREPARE, suspendPolicy=EVENT_THREAD, predicates=[className=sun.instrument.InstrumentationImpl]}
21:55:35.583 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
21:55:35.583 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=105, eventKind=CLASS_PREPARE, suspendPolicy=EVENT_THREAD, predicates=[className=sun.instrument.InstrumentationImpl]}
21:55:36.159 INFO: JdwpDebugServer: handling req: VirtualMachine(1).Resume(9)
21:55:36.209 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (33, main, main)
21:55:36.233 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (48, ReferenceQueueDaemon, main)
21:55:36.239 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (63, FinalizerDaemon, main)
21:55:36.244 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (78, FinalizerWatchdogDaemon, main)
21:55:36.245 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.247 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.248 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.249 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.250 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.251 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.252 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.254 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.255 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.256 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.257 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.258 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.259 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.261 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.262 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.263 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.264 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.266 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.269 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.271 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:55:36.272 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
